Time (min),Blood Glucose (mg/dl),Sensor Glucose Readings(mg/dl)
201,123.4675578,137.5921197
202,123.7964552,137.7384159
203,124.170318,137.8885546
204,124.5917573,138.002507
205,125.0634788,138.0815335
206,125.5882327,138.1269912
207,126.1687434,138.140328
208,126.807613,138.1230722
209,127.5071972,138.0768149
210,128.2694534,138.0031851
211,129.0957629,137.9038153
212,129.9867375,137.7802969
213,130.9420256,137.6341266
214,131.960137,137.4666425
215,133.0383123,137.2789563
216,134.1724585,137.0718816
217,135.3571663,136.8458663
218,136.585816,136.6009337
219,137.8507616,136.4422631
220,139.1435764,136.3689076
221,140.455333,136.3794121
222,141.7768895,136.4718229
223,143.099159,136.6437154
224,144.4133453,136.8922369
225,145.7111325,137.21416
226,146.9848279,137.6059439
227,148.2274576,138.0637988
228,149.4328221,138.5837519
229,150.5955164,139.1617106
230,151.7109237,139.7935224
231,152.7751882,140.4750301
232,153.7851741,141.20212
233,154.738415,141.9707652
234,155.6330574,142.7547972
235,156.467803,143.550465
236,157.2418503,144.3541953
237,157.954838,145.1626115
238,158.6067912,145.9725475
239,159.198071,146.781058
240,159.7293278,147.5854242
241,160.2014588,148.3831565
242,160.6155692,149.1719945
243,160.9729375,149.9499043
244,161.2749841,150.7150741
245,161.5232442,151.4659077
246,161.7193426,152.2010176
247,161.8649726,152.9192158
248,161.9618768,153.6195052
249,162.011831,154.2852069
250,162.0166297,154.9156751
251,161.9780736,155.5104243
252,161.8979593,156.0691185
253,161.7780703,156.5915615
254,161.6201692,157.0776859
255,161.4259913,157.5275435
256,161.1972407,157.9412955
257,160.9190865,158.3188337
258,160.5702793,158.6585717
259,160.1520857,158.9584136
260,159.6736515,159.2168256
261,159.144459,159.4329948
262,158.5743447,159.6067888
263,157.9750233,159.738781
264,157.3617552,159.7729349
265,156.7536582,159.7117054
266,156.1713432,159.5587087
267,155.633082,159.3186172
268,155.1523489,158.9968423
269,154.7377351,158.5991575
270,154.3941743,158.1313917
271,154.1243137,157.5992329
272,153.9288334,157.0081106
273,153.8053194,156.363038
274,153.7497975,155.668483
275,153.757264,154.9283247
276,153.8218939,154.1458314
277,153.9372058,153.323653
278,154.0961937,152.4638228
279,154.2914368,151.6592395
280,154.5151997,150.9107383
281,154.759533,150.2185854
282,155.0163837,149.582504
283,155.2777211,149.0017077
284,155.5356803,148.4749399
285,155.7827169,148.0005205
286,156.011763,147.5764
287,156.2163726,147.2002198
288,156.3908404,146.8693773
289,156.530286,146.5810936
290,156.6306977,146.3324806
291,156.6889357,146.1206056
292,156.7027013,145.9425505
293,156.6704788,145.7954639
294,156.5914587,145.6139588
295,156.4654514,145.395443
296,156.2927977,145.1374999
297,156.0742808,144.8379085
298,155.8110441,144.4946574
299,155.5045166,144.1059518
300,155.1563467,143.6702158
301,154.7683452,143.1860906
302,154.342436,142.6524289
303,153.8806157,142.0682878
304,153.3849192,141.432918
305,152.8573923,140.7457538
306,152.3000695,140.0063998
307,151.714956,139.2146195
308,151.1040141,138.3703218
309,150.4691523,137.573783
310,149.8122178,136.8251654
311,149.1349905,136.1247392
312,148.4391792,135.4728717
313,147.7264191,134.8700151
314,146.9982707,134.3166973
315,146.2562198,133.813511
316,145.5016771,133.3611051
317,144.7359802,132.9601759
318,143.9603947,132.6114596
319,143.1761162,132.3157244
320,142.3842722,132.0737646
321,141.5859246,131.8863939
322,140.7820724,131.7544404
323,139.9736536,131.678741
324,139.1615484,131.5825445
325,138.3465814,131.4666932
326,137.5295242,131.3320267
327,136.7110982,131.1793783
328,135.8919766,131.0095727
329,135.0727871,130.8234227
330,134.2541146,130.6217278
331,133.4365025,130.405272
332,132.6204559,130.1748222
333,131.8064431,129.931127
334,130.994898,129.6749155
335,130.1862214,129.4068961
336,129.3807838,129.1277562
337,128.5789263,128.8381615
338,127.7809628,128.5387554
339,126.9871813,128.2598301
340,126.1978456,128.0019839
341,125.4131969,127.7657924
342,124.6334548,127.5518087
343,123.8588187,127.3605632
344,123.0894695,127.192564
345,122.3255699,127.0482973
346,121.5672664,126.9282274
347,120.8146899,126.8327972
348,120.0679566,126.7624288
349,119.3271694,126.7175238
350,118.592418,126.6984636
351,117.8637808,126.7056103
352,117.1413247,126.7393069
353,116.4251065,126.7998779
354,115.7151732,126.8011853
355,115.0115631,126.7435182
356,114.314306,126.6271495
357,113.6234239,126.4523355
358,112.9389318,126.2193171
359,112.2608381,125.9283201
360,111.5891449,125.579556
361,110.9238487,125.1732222
362,110.2649408,124.7095028
363,109.6124078,124.188569
364,108.9662255,123.6105801
365,108.4057631,122.9775607
366,107.9405552,122.2963635
367,107.4803642,121.5691473
368,106.9985579,120.7940672
369,106.4971028,120.017459
370,105.9865854,119.2376139
371,105.4912501,118.4540274
372,105.061381,117.6686043
373,104.7846098,116.8876247
374,104.7808063,116.1238664
375,105.1751859,115.3974838
376,106.070228,114.7348755
377,107.5358533,114.1663488
378,109.6146942,113.7238543
379,112.3314241,113.4393988
380,115.6968722,113.3440721
381,119.7002326,113.4669323
382,124.3158512,113.8338841
383,129.5076622,114.4670956
384,135.2311598,115.3694359
385,141.4349926,116.5546302
386,148.0622657,118.0319473
387,155.0516242,119.8061657
388,162.338192,121.8776072
389,169.8544355,124.2422266
390,177.5310256,126.8917529
391,185.2977601,129.8138783
392,193.0845936,132.9924989
393,200.8214564,136.4079863
394,208.4399162,140.0374156
395,215.8778489,143.8550976
396,223.0814285,147.8331595
397,230.0155317,151.9427246
398,236.6370764,156.1542827
399,242.907405,160.5434402
400,248.7954608,165.0795868
401,254.277614,169.7323309
402,259.3372528,174.4719593
403,263.9642022,179.2698349
404,268.1540367,184.0987251
405,271.9073432,188.9330624
406,275.2289816,193.7491399
407,278.1273737,198.5252448
408,280.6138439,203.2417394
409,282.7020225,207.8810952
410,284.4073178,212.4278879
411,285.7464562,216.8687604
412,286.737087,221.19236
413,287.3974483,225.3892567
414,287.7460864,229.3173941
415,287.8016242,232.9708854
416,287.5825708,236.3454475
417,287.107168,239.4382834
418,286.3932676,242.2479627
419,285.4582357,244.7743036
420,284.3188787,247.0182564
421,282.9913888,248.9817905
422,281.4913046,250.6677863
423,279.8334856,252.0799316
424,278.0320966,253.2226234
425,276.1006014,254.1008761
426,274.0517641,254.7202344
427,271.8976557,255.0866934
428,269.649666,255.2066239
429,267.3185185,255.118859
430,264.9142888,254.8303201
431,262.4464253,254.3481141
432,259.9237709,253.6794814
433,257.3545865,252.8317481
434,254.746575,251.8122826
435,252.1069058,250.6284579
436,249.4422393,249.2876163
437,246.7587516,247.7970392
438,244.0621587,246.1639205
439,241.3577405,244.3953422
440,238.6503639,242.4982546
441,235.944506,240.4794585
442,233.2442762,238.3455897
443,230.5534369,236.1031071
444,227.875425,233.8575143
445,225.2133711,231.6148864
446,222.5701185,229.3810958
447,219.9482415,227.1618074
448,217.3500629,224.962475
449,214.7776701,222.7883393
450,212.2329309,220.6444269
451,209.7175087,218.5355504
452,207.2328762,216.4663099
453,204.7803292,214.4410941
454,202.360999,212.4640837
455,199.9758642,210.5392544
456,197.6257625,208.6703806
457,195.3114007,206.8610398
458,193.0347824,205.1146424
459,190.7990616,203.4025763
460,188.6043018,201.7281022
461,186.4505063,200.0942677
462,184.3376252,198.5039192
463,182.2655562,196.9597115
464,180.2341458,195.4641167
465,178.2431915,194.0194336
466,176.2924449,192.6277951
467,174.3816149,191.2911767
468,172.5103712,190.011404
469,170.6783475,188.7901602
470,168.8851456,187.6289928
471,167.1303378,186.529321
472,165.4134713,185.4924419
473,163.7340705,184.5195372
474,162.0916403,183.52148
475,160.485669,182.4992395
476,158.9156309,181.4536871
477,157.3809885,180.3856023
478,155.8811954,179.2956781
479,154.4156978,178.1845258
480,152.983937,177.0526804
481,151.5853509,175.9006047
482,150.2193761,174.7286947
483,148.8854493,173.5372831
484,147.5830084,172.3266443
485,146.3114948,171.0969976
486,145.0703536,169.8485116
487,143.8590354,168.5813077
488,142.6769974,167.2954635
489,141.523704,166.0418477
490,140.398628,164.8204602
491,139.3012514,163.6312666
492,138.2310663,162.4742013
493,137.1875753,161.3491697
494,136.1702925,160.2560515
495,135.1787442,159.1947027
496,134.2124692,158.1649581
497,133.2710196,157.1666335
498,132.3539614,156.1995279
499,131.4608748,155.2634256
500,130.5913549,154.3580979
501,129.7450123,153.483305
502,128.9214732,152.638798
503,128.1203805,151.8243201
504,127.3413936,151.0519088
505,126.5841895,150.3212968
506,125.8484631,149.6322138
507,125.1339277,148.9843879
508,124.4403156,148.3775468
509,123.7673788,147.8114191
510,123.1148895,147.2857357
511,122.4826408,146.8002308
512,121.8704476,146.3546433
513,121.2781471,145.9487178
514,120.7056,145.5822055
515,120.1526912,145.2548659
516,119.6193308,144.9664674
517,119.1054554,144.7167886
518,118.6110293,144.5056192
519,118.1360455,144.2079014
520,117.6805276,143.8234507
521,117.2445315,143.3520976
522,116.8281465,142.7936885
523,116.4314982,142.1480867
524,116.05475,141.4151741
525,115.6981058,140.5948523
526,115.3618128,139.6870442
527,115.0461643,138.6916955
528,114.7515028,137.6087761
529,114.4782239,136.4382823
530,114.2267806,135.1802384
531,113.9976868,133.8346986
532,113.7915232,132.4017498
533,113.608942,130.8815131
534,113.4506732,129.4084485
535,113.3175308,127.9827547
536,113.21042,126.6046741
537,113.1303448,125.2744956
538,113.0784164,123.9925584
539,113.0558615,122.7592562
540,113.0640321,121.5750415
541,113.1044146,120.44043
542,113.1786391,119.3560058
543,113.2884888,118.3224267
544,113.4359079,117.3404293
545,113.6230076,116.4108351
546,113.8520692,115.5345558
547,114.1255427,114.7125983
548,114.446038,113.9460697
549,114.8163072,113.2826152
550,115.2392134,112.7235503
551,115.7176825,112.270294
552,116.2546339,111.9243646
553,116.8528849,111.6873691
554,117.5150264,111.5609876
555,118.2432675,111.5469477
556,119.039253,111.6469913
557,119.9038594,111.8628293
558,120.8369867,112.1960869
559,121.8373639,112.6482381
560,122.9023955,113.2205341
561,124.0280729,113.9139271
562,125.2089699,114.728997
563,126.4383319,115.6658852
564,127.7082531,116.6295688
565,129.0099245,117.6191711
566,130.3339259,118.6332736
567,131.6705329,119.6699211
568,133.0100111,120.7266477
569,134.3428779,121.8005178
570,135.6601183,122.8881811
571,136.9533496,123.9859363
572,138.2149366,125.0897994
573,139.4380604,126.1955737
574,140.616749,127.298919
575,141.7458769,128.3954159
576,142.8211414,129.4806263
577,143.8390212,130.5501472
578,144.7967249,131.5996578
579,145.6924599,132.6071815
580,146.5270294,133.5687721
581,147.2997251,134.4807598
582,148.0097263,135.3396534
583,148.6566744,136.1421524
584,149.2406121,136.885163
585,149.7619279,137.5658084
586,150.2213057,138.1814361
587,150.6196795,138.729621
588,150.9581927,139.208165
589,151.2381617,139.6150951
590,151.4610443,139.9486589
591,151.6284111,140.2073183
592,151.7419206,140.3897418
593,151.8032976,140.4947964
594,151.8143141,140.5828794
595,151.7767729,140.6532259
596,151.6924934,140.7052399
597,151.5632995,140.738484
598,151.3910088,140.752669
599,151.1774241,140.7476431
600,150.9243258,140.723382
601,150.6334656,140.6799791
602,150.3065613,140.6176349
603,149.9452926,140.5366484
604,149.5512978,140.4374079
605,149.1261709,140.3203818
606,148.67146,140.1861111
607,148.1795307,140.0350133
608,147.6314388,139.8664494
609,147.0243492,139.6631532
610,146.3651966,139.4240693
611,145.66189,139.1487143
612,144.9227119,138.8371627
613,144.1576844,138.4900754
614,143.3803035,138.1088332
615,142.6082262,137.695752
616,141.8613234,137.2542446
617,141.1578594,136.7887704
618,140.511717,136.3045571
619,139.9320337,135.8072387
620,139.4243236,135.3025507
621,138.99259,134.7961534
622,138.6381444,134.2935264
623,138.3589061,133.7997546
624,138.1511975,133.3068141
625,138.0102655,132.818684
626,137.9305002,132.3387417
627,137.9056065,131.8697515
628,137.9287411,131.4138655
629,137.9926252,130.9726308
630,138.0896439,130.5470044
631,138.2119439,130.1373729
632,138.3515375,129.7435776
633,138.5004227,129.3649456
634,138.650723,129.0003266
635,138.7952151,128.6481476
636,138.9268707,128.3064772
637,139.0389945,127.9730566
638,139.1255786,127.6453584
639,139.1813976,127.3607658
640,139.2020661,127.1164128
641,139.184055,126.9093622
642,139.1246731,126.736666
643,139.0220187,126.5954197
644,138.874911,126.4828085
645,138.6828086,126.3961467
646,138.4457234,126.3329077
647,138.1641338,126.2907475
648,137.8391551,126.2675242
649,137.4726434,126.2613418
650,137.0661139,126.2705371
651,136.6212431,126.2936598
652,136.1398375,126.3294694
653,135.6237905,126.3769282
654,135.0750463,126.3837194
655,134.4955706,126.3491827
656,133.8873268,126.2728303
657,133.252257,126.1543343
658,132.5922667,125.9935146
