Time (min),Blood Glucose (mg/dl),Sensor Glucose Readings(mg/dl)
1029,18.17977532,33.59506036
1030,18.16723381,33.77290242
1031,18.15568931,33.87866472
1032,18.14513502,33.91233992
1033,18.13556418,33.8739207
1034,18.12697006,33.76339977
1035,18.11934598,33.58076989
1036,18.11268528,33.32602386
1037,18.10698135,32.9991545
1038,18.10222762,32.6001547
1039,18.09841756,32.12901735
1040,18.09554465,32
1041,18.09360244,32
1042,18.09258451,32
1043,18.09248445,32
1044,18.09329593,32
1045,18.09501261,32
1046,18.09762823,32
1047,18.10113654,32
1048,18.10553133,32
1049,18.11080642,32
1050,18.11695569,32
1051,18.12397303,32
1052,18.13185238,32
1053,18.1405877,32
1054,18.150173,32
1055,18.16060232,32
1056,18.17186974,32
1057,18.18396936,32
1058,18.19689533,32
1059,18.21064183,32
1060,18.22520306,32
1061,18.24057328,32
1062,18.25674676,32
1063,18.27371783,32
1064,18.29148082,32
1065,18.31003011,32
1066,18.32936013,32
1067,18.34946531,32
1068,18.37034014,32
1069,18.39197913,32
1070,18.41437683,32
1071,18.43752781,32
1072,18.46142668,32
1073,18.48606809,32
1074,18.51144671,32
1075,18.53755724,32
1076,18.56439443,32
1077,18.59195303,32
1078,18.62022786,32
1079,18.64921374,32
1080,18.67890553,32
1081,18.70929813,32
1082,18.74038647,32
1083,18.77216549,32
1084,18.80463018,32
1085,18.83777556,32
1086,18.87159667,32
1087,18.90608858,32
1088,18.94124641,32
1089,18.97706528,32
1090,19.01354036,32
1091,19.05066684,32
1092,19.08843995,32
1093,19.12685493,32
1094,19.16590706,32
1095,19.20559166,32
1096,19.24590406,32
1097,19.28683962,32
1098,19.32839374,32
1099,19.37056185,32
1100,19.41333938,32
1101,19.45672182,32
1102,19.50070467,32
1103,19.54528347,32
1104,19.59045377,32
1105,19.63621116,32
1106,19.68255126,32
1107,19.7294697,32
1108,19.77696215,32
1109,19.82502431,32
1110,19.87365189,32
1111,19.92284065,32
1112,19.97258635,32
1113,20.02288479,32
1114,20.07373181,32
1115,20.12512324,32
1116,20.17705496,32
1117,20.22952287,32
1118,20.28252291,32
1119,20.33605101,32
1120,20.39010317,32
1121,20.44467537,32
1122,20.49976364,32
1123,20.55536403,32
1124,20.61147263,32
1125,20.66808552,32
1126,20.72519882,32
1127,20.7828087,32
1128,20.84091131,32
1129,20.89950285,32
1130,20.95857953,32
1131,21.01813761,32
1132,21.07817334,32
1133,21.13868301,32
1134,21.19966293,32
1135,21.26110944,32
1136,21.32301889,32
1137,21.38538766,32
1138,21.44821215,32
1139,21.51148878,32
1140,21.575214,32
1141,21.64001258,32
1142,21.71039331,32
1143,21.78748728,32
1144,21.86886062,32
1145,21.95647024,32
1146,22.05595546,32
1147,22.17892793,32
1148,22.34941964,32
1149,22.61202449,32
1150,23.03310379,32
1151,23.68776215,32
1152,24.64186929,32
1153,25.94348383,32
1154,27.62436233,32
1155,29.70490991,32
1156,32.19611044,32
1157,35.09521506,32
1158,38.38996842,32
1159,42.06103536,32
1160,46.08337427,32
1161,50.42735038,32
1162,55.05964033,32
1163,59.94397403,32
1164,65.04175736,32
1165,70.31261959,32
1166,75.71492936,32
1167,81.20632126,32
1168,86.74426771,32
1169,92.28671631,34.54417017
1170,97.79279149,38.76341853
1171,103.2235339,43.25148441
1172,108.5426298,47.99228035
1173,113.7170698,52.96849923
1174,118.7176798,58.16192927
1175,123.5194828,63.55377774
1176,128.1018716,69.12499093
1177,132.448599,74.85655832
1178,136.5476116,80.72979084
1179,140.390761,86.44395125
1180,143.9734345,91.98168996
1181,147.2941398,97.32659807
1182,150.3540759,102.4633361
1183,153.1567121,107.3777261
1184,155.7073913,112.0568112
1185,158.012967,116.4888861
1186,160.0814794,120.6635031
1187,161.9218706,124.5714576
1188,163.5437397,128.2047579
1189,164.9571331,131.5565809
1190,166.172369,134.6212195
1191,167.1998909,137.3940219
1192,168.0501473,139.8713266
1193,168.7334937,142.0503945
1194,169.2601141,144.1506555
1195,169.6399593,146.1710074
1196,169.8826981,148.1110634
1197,169.9976817,149.9710854
1198,169.9939165,151.7519198
1199,169.880046,153.4549363
1200,169.6643392,155.0819686
1201,169.3546841,156.63526
1202,168.9585866,158.1174109
1203,168.4831718,159.5313308
1204,167.9351899,160.880193
1205,167.3210228,162.167393
1206,166.6466936,163.3965102
1207,165.9178772,164.5712725
1208,165.1399117,165.6955244
1209,164.3178107,166.7206687
1210,163.4562765,167.6506974
1211,162.559713,168.4896392
1212,161.6322387,169.2415378
1213,160.6777008,169.9104325
1214,159.6996875,170.5003416
1215,158.7015416,171.015247
1216,157.6863728,171.4590809
1217,156.6570704,171.8357141
1218,155.6163151,172.1489461
1219,154.5665906,172.4024967
1220,153.5101951,172.599998
1221,152.4492519,172.7449893
1222,151.3857193,172.8409113
1223,150.3214013,172.8911023
1224,149.2579565,172.8504023
1225,148.196907,172.7219365
1226,147.1396473,172.5087206
1227,146.0874521,172.2136603
1228,145.0414844,171.8395503
1229,144.0028023,171.389075
1230,142.9723664,170.8648089
1231,141.9510459,170.2692177
1232,140.9396252,169.6046595
1233,139.9388092,168.8733866
1234,138.9492293,168.0775474
1235,137.9714485,167.2191887
1236,137.0059657,166.3002576
1237,136.0532211,165.3226046
1238,135.1136,164.2879856
1239,134.1874368,163.1978453
1240,133.2750193,162.0537594
1241,132.3765915,160.8572178
1242,131.4923578,159.6096272
1243,130.6224853,158.3123145
1244,129.7671075,156.9665293
1245,128.9263264,155.5734469
1246,128.1002156,154.1341716
1247,127.2888223,152.6497388
1248,126.4921699,151.1211188
1249,125.7102597,149.5492186
1250,124.9430735,147.9348855
1251,124.1905747,146.2789094
1252,123.4527107,144.5820254
1253,122.7294141,142.8449165
1254,122.0206042,141.2036806
1255,121.3261888,139.6589038
1256,120.6460651,138.2111275
1257,119.980121,136.8608505
1258,119.3282367,135.6085313
1259,118.6902851,134.4545903
1260,118.0661333,133.3994115
1261,117.4556434,132.4433454
1262,116.8586733,131.5867098
1263,116.2750778,130.8297925
1264,115.704709,130.172853
1265,115.1474174,129.6161236
1266,114.6030524,129.1598118
1267,114.0714629,128.8041017
1268,113.5524981,128.5491552
1269,113.0460081,128.273991
1270,112.5518441,127.9787316
1271,112.0698595,127.6634817
1272,111.5999099,127.3283297
1273,111.1418539,126.9733488
1274,110.6955534,126.5985981
1275,110.260874,126.204124
1276,109.8376859,125.7899614
1277,109.4258636,125.3561342
1278,109.025287,124.9026569
1279,108.6358416,124.4295352
1280,108.2574185,123.9367674
1281,107.8899156,123.4243446
1282,107.5332374,122.8922523
1283,107.1872958,122.3404708
1284,106.8520104,121.7946481
1285,106.5273087,121.2547568
1286,106.2131274,120.7207669
1287,105.9094117,120.1926466
1288,105.6161171,119.6703627
1289,105.3332089,119.1538818
1290,105.0606633,118.6431707
1291,104.7984683,118.1381971
1292,104.5466234,117.6389305
1293,104.3051416,117.1453429
1294,104.0740491,116.6574093
1295,103.8533867,116.1751085
1296,103.6432106,115.6984239
1297,103.4435935,115.2273444
1298,103.2546253,114.7618647
1299,103.0764148,114.3503143
1300,102.9090909,113.9927025
1301,102.7528035,113.6890473
1302,102.6077259,113.4393758
1303,102.474056,113.2437258
1304,102.3520181,113.1021463
1305,102.2418656,113.0146988
1306,102.1438826,112.9814583
1307,102.0583871,113.0025147
1308,101.9857331,113.077974
1309,101.9263143,113.2079598
1310,101.8805674,113.3926148
1311,101.8489751,113.6321023
1312,101.8320713,113.9266085
1313,101.8304444,114.2763441
1314,101.8447427,114.6067969
1315,101.8756791,114.9182333
1316,101.9240366,115.2109514
1317,101.990674,115.4852834
1318,102.0765311,115.7415988
1319,102.1826346,115.9803071
1320,102.3101031,116.2018615
1321,102.4601513,116.406762
1322,102.6340929,116.5955586
1323,102.8333412,116.7688546
1324,103.0594064,116.9273099
1325,103.3138878,117.0716429
1326,103.5984597,117.2026325
1327,103.9148486,117.321118
1328,104.2647988,117.4279979
1329,104.6500238,117.6558647
1330,105.072142,118.0057188
1331,105.5325946,118.4785954
1332,106.0325448,119.0755478
1333,106.5727643,119.7976244
1334,107.1535099,120.6458388
1335,107.7744037,121.6211346
1336,108.4343292,122.7243449
1337,109.1313578,123.9561484
1338,109.862721,125.317025
1339,110.6248355,126.8072142
1340,111.4133822,128.4266802
1341,112.2234328,130.1750853
1342,113.0496113,132.051775
1343,113.886271,134.0557756
1344,114.7276737,135.8771661
1345,115.5681534,137.5143717
1346,116.4022573,138.9655562
1347,117.2248575,140.2286562
1348,118.0312326,141.3014208
1349,118.8171216,142.181452
1350,119.5787524,142.8662459
1351,120.3128499,143.3532318
1352,121.0166293,143.6398094
1353,121.6877759,143.7233817
1354,122.3244182,143.6013854
1355,122.9250956,143.2713161
1356,123.4887223,142.7307505
1357,124.0145515,141.9773645
1358,124.5021391,141.0089476
1359,124.9513089,140.0821049
1360,125.3621194,139.1948838
1361,125.7348331,138.3454706
1362,126.0698877,137.5321935
1363,126.3678706,136.7535242
1364,126.629495,136.0080773
1365,126.8555786,135.2946086
1366,127.0470253,134.6120119
1367,127.2048075,133.9593154
1368,127.329952,133.3356763
1369,127.4235264,132.7403759
1370,127.4866278,132.1728138
1371,127.5203727,131.6325013
1372,127.5258886,131.1190554
1373,127.5043062,130.6321925
1374,127.4567529,130.2065374
1375,127.3843478,129.8419851
1376,127.2881964,129.5385106
1377,127.1693871,129.2961622
1378,127.0289881,129.115056
1379,126.868044,128.9953694
1380,126.6875746,128.9373361
1381,126.4885724,128.9412404
1382,126.2720015,129.0074121
1383,126.038797,129.1362214
1384,125.7898637,129.3280749
1385,125.5260759,129.5834106
1386,125.2482776,129.902694
1387,124.9572817,130.2864147
1388,124.6538707,130.7350823
1389,124.3387967,131.1331275
1390,124.0127821,131.4810907
1391,123.6765196,131.7795231
1392,123.3306734,132.0289843
1393,122.9758791,132.2300397
1394,122.612745,132.3832586
1395,122.2418526,132.4892117
1396,121.8637572,132.5484698
1397,121.4789891,132.5616017
1398,121.0880539,132.5291728
1399,120.6914337,132.4517439
1400,120.2895878,132.3298698
1401,119.8829533,132.1640985
1402,119.4719463,131.9549698
1403,119.0569624,131.7030148
1404,118.6383778,131.4475023
1405,118.2165495,131.1889438
1406,117.7918168,130.92784
1407,117.3645016,130.6646803
1408,116.934909,130.3999427
1409,116.5033285,130.1340934
1410,116.0700343,129.8675864
1411,115.635286,129.6008634
1412,115.1993296,129.3343538
1413,114.7623976,129.0684745
1414,114.32471,128.8036298
1415,113.8864745,128.5402117
1416,113.4478876,128.2785996
1417,113.0091348,128.0191606
1418,112.570391,127.7622494
1419,112.1318213,127.4856045
1420,111.6935814,127.1895565
1421,111.2558177,126.8744244
1422,110.8186683,126.5405157
1423,110.3822632,126.1881262
1424,109.9467245,125.8175409
1425,109.512167,125.4290336
1426,109.0786986,125.0228678
1427,108.6464205,124.5992961
1428,108.2154277,124.1585615
1429,107.785809,123.7008966
1430,107.3576478,123.2265247
1431,106.9310221,122.7356597
1432,106.5060046,122.2285064
1433,106.0826634,121.7052606
1434,105.6610619,121.1453849
1435,105.2412592,120.5490584
1436,104.8233103,119.9164523
1437,104.4072664,119.2477299
1438,103.993175,118.5430472
1439,103.5810799,117.802553
1440,103.1710219,117.0263888
1441,102.7630386,116.2146897
1442,102.3571645,115.3675843
1443,101.9534316,114.4851947
1444,101.551869,113.5676372
1445,101.1525035,112.6150224
1446,100.7553595,111.627455
1447,100.3604592,110.6050346
1448,99.9678227,109.5478556
1449,99.57746805,108.5486469
1450,99.18941156,107.6074933
1451,98.80366773,106.7244747
1452,98.42024944,105.8996672
1453,98.03916796,105.1331424
1454,97.66043315,104.4249678
1455,97.28405344,103.7752072
1456,96.91003599,103.1839209
1457,96.53838673,102.6511654
1458,96.16911044,102.1769939
1459,95.8022108,101.7614566
1460,95.4376905,101.4046003
1461,95.07555126,101.1064692
1462,94.7157939,100.8671043
1463,94.3584184,100.6865444
1464,94.00342396,100.4867593
1465,93.65080903,100.2677826
1466,93.30057138,100.0296455
1467,92.9527081,99.7723771
1468,92.60721572,99.49600424
1469,92.26409015,99.20055184
1470,91.92332681,98.88604287
1471,91.5849206,98.55249849
1472,91.24886597,98.19993812
1473,90.91515694,97.82837952
1474,90.58378711,97.43783888
1475,90.25474973,97.02833092
1476,89.9280377,96.59986892
1477,89.60364357,96.15246481
1478,89.28155963,95.68612925
1479,88.96177787,95.29328897
1480,88.64429002,94.97395227
1481,88.3290876,94.72812634
1482,88.01616188,94.55581735
1483,87.70550395,94.45703047
1484,87.39710471,94.43176995
1485,87.0909549,94.48003916
1486,86.78704509,94.60184064
1487,86.48536573,94.79717613
1488,86.18590712,95.06604664
1489,85.88865945,95.40845247
1490,85.59361283,95.82439323
1491,85.30075724,96.31386795
1492,85.01008261,96.87687501
1493,84.72157878,97.51341229
1494,84.43523552,98.06855392
1495,84.15104255,98.54229675
1496,83.86898955,98.93463712
1497,83.58906613,99.24557096
1498,83.3112619,99.47509378
1499,83.03556643,99.62320068
1500,82.76196924,99.68988643
1501,82.49045987,99.67514543
1502,82.22102784,99.57897177
1503,81.95366264,99.40135924
1504,81.68835379,99.14230135
1505,81.42509078,98.80179134
1506,81.16386313,98.37982222
1507,80.90466036,97.87638676
1508,80.647472,97.29147752
1509,80.3922876,96.65412799
1510,80.13909673,95.96433037
1511,79.88788898,95.22207665
1512,79.63865395,94.42735868
1513,79.39138129,93.58016818
1514,79.14606067,92.6804967
1515,78.90268179,91.7283357
1516,78.66123437,90.7236765
1517,78.42170817,89.66651034
1518,78.18409301,88.55682835
1519,77.9483787,87.39462157
1520,77.71455514,86.17988098
1521,77.48261222,84.91259748
1522,77.25253991,83.59276189
1523,77.02432821,82.220365
1524,76.79796714,80.89792799
1525,76.57344678,79.62544153
1526,76.35075727,78.40289629
1527,76.12988877,77.23028286
1528,75.91083149,76.10759184
1529,75.69357569,75.03481379
1530,75.47811167,74.01193926
1531,75.26442979,73.03895877
1532,75.05252044,72.11586285
1533,74.84237406,71.24264201
1534,74.63398114,70.41928676
1535,74.42733222,69.64578761
1536,74.22241788,68.92213507
1537,74.01922875,68.24831967
1538,73.81775551,67.62433194
1539,73.61873412,67.08902948
1540,73.42834372,66.64262695
1541,73.2471891,66.2856593
1542,73.06744519,66.0182885
1543,72.8874348,65.84033475
1544,72.71127554,65.75171329
1545,72.55248439,65.75288689
1546,72.44443108,65.84575882
1547,72.45395562,66.03533974
1548,72.68441308,66.33194862
1549,73.25532813,66.75270437
1550,74.27280013,67.32113009
1551,75.81480352,68.06525435
1552,77.93328353,69.01547908
1553,80.66212978,70.20297567
1554,84.02123592,71.54273847
1555,88.00953818,73.06427142
1556,92.61004785,74.79450568
1557,97.79409866,76.75709297
1558,103.5235639,78.97193097
1559,109.7526564,81.45485093
1560,116.4293977,84.21743239
1561,123.4968273,87.26691734
1562,130.8940221,90.6062026
1563,138.5569896,94.23389507
1564,146.4195044,98.14441951
1565,154.4139512,102.3281741
1566,162.4722355,106.7717331
1567,170.526797,111.4580986
1568,178.5117355,116.3670072
1569,186.3640143,121.4518927
1570,194.024671,126.6871032
1571,201.4382619,132.0449331
1572,208.5554181,137.496016
1573,215.335622,143.0099848
1574,221.7455093,148.5560437
1575,227.7589113,154.1034672
1576,233.3566366,159.6220619
1577,238.5260341,165.0825752
1578,243.260404,170.4570435
1579,247.5583189,175.7190759
1580,251.4229091,180.8440727
1581,254.8611544,185.8093835
1582,257.8832102,190.594409
1583,260.5017877,195.1806538
1584,262.7315974,199.6424135
1585,264.5888586,203.9653981
1586,266.0908759,208.1373557
1587,267.2556765,212.1479979
1588,268.1017057,215.9889076
1589,268.6475727,219.6534354
1590,268.9118417,223.1365872
1591,268.9128622,226.4349069
1592,268.668633,229.5463568
1593,268.196695,232.4701982
1594,267.5140483,235.2068728
1595,266.63709,237.7578883
1596,265.5815693,240.1257072
1597,264.3625567,242.3136403
1598,262.9944251,244.3257467
1599,261.4908409,246.0672974
1600,259.864763,247.5435676
1601,258.1284479,248.7603127
1602,256.2934608,249.7236914
1603,254.3706896,250.4401942
1604,252.3703638,250.916578
1605,250.302074,251.1598059
1606,248.1747947,251.1769929
1607,245.9969079,250.975356
1608,243.7762272,250.5621695
1609,241.5200233,249.9447251
1610,239.2350485,249.1302958
1611,236.9275625,248.1261038
1612,234.603357,246.9392928
1613,232.2677801,245.5769029
1614,229.9257608,244.1060433
1615,227.581832,242.5334859
1616,225.2401531,240.8658431
1617,222.9045324,239.1095549
1618,220.5784479,237.2708775
1619,218.2650675,235.3558748
1620,215.9672687,233.3704111
1621,213.6876573,231.3201456
1622,211.4285848,229.2105292
1623,209.1921652,227.0468013
1624,206.9802918,224.8339892
1625,204.7946516,222.5769078
1626,202.63674,220.2801605
1627,200.5078748,217.9481411
1628,198.4092084,215.5850361
1629,196.3417408,213.2267153
1630,194.3063266,210.8769611
1631,192.3031834,208.5393475
1632,190.3325001,206.217217
1633,188.3948381,203.9137232
1634,186.4906482,201.6318462
1635,184.6202803,199.3743966
1636,182.7839933,197.1440211
1637,180.9819629,194.9432066
1638,179.2142902,192.7742862
1639,177.481008,190.6394444
1640,175.7820874,188.5407225
1641,174.1174442,186.4800244
1642,172.4869438,184.4591216
1643,170.8904066,182.4796596
1644,169.3276126,180.5677531
1645,167.7983057,178.7248108
1646,166.3021975,176.9521311
1647,164.8389714,175.2509077
1648,163.4082856,173.6222341
1649,162.0097766,172.0671092
1650,160.6430617,170.5864419
1651,159.3077422,169.1810559
1652,158.0034054,167.8516941
1653,156.7296275,166.5990235
1654,155.4859751,165.4236393
1655,154.2720075,164.3260687
1656,153.0872786,163.3067756
1657,151.9313384,162.366164
1658,150.8037347,161.5045817
1659,149.7040145,160.6389814
1660,148.6317252,159.7696095
1661,147.5864161,158.8966667
1662,146.5676392,158.0203108
1663,145.5749507,157.1406603
1664,144.6079115,156.2577969
1665,143.6660885,155.3717685
1666,142.7490552,154.4825913
1667,141.8563926,153.5902532
1668,140.98769,152.6947153
1669,140.1425457,151.7959149
1670,139.3205674,150.8937673
1671,138.5213731,149.9881678
1672,137.7445917,149.0789942
1673,136.9898634,148.1661081
1674,136.2568403,147.2428669
1675,135.5451871,146.3091057
1676,134.8545814,145.3646491
1677,134.1847144,144.4093123
1678,133.5352913,143.4429028
1679,132.9060319,142.4652219
1680,132.2966711,141.4760662
1681,131.7069595,140.4752286
1682,131.1366319,139.4624997
1683,131.024859,138.4478443
1684,131.6393236,137.4734725
1685,132.8094891,136.5762651
1686,134.3947106,135.7805244
1687,136.2797778,135.1006046
1688,138.3711919,134.5431053
1689,140.5939355,134.1620783
1690,142.8886016,133.9537613
1691,145.2088312,133.9111903
1692,147.5190457,134.0251877
1693,149.7924714,134.2851471
1694,152.0094491,134.6796466
1695,154.1560115,135.19692
1696,156.2227026,135.8252122
1697,158.2036098,136.5530411
1698,160.0906166,137.369293
1699,161.8655661,138.2626687
1700,163.5143009,139.22151
1701,165.0279633,140.2341763
1702,166.4019535,141.2893561
1703,167.6350072,142.376293
1704,168.7284086,143.5356044
1705,169.6853383,144.7580534
1706,170.5103445,146.035265
1707,171.208923,147.3597446
1708,171.7871872,148.7248714
1709,172.2516139,150.1248726
1710,172.6088494,151.5547849
1711,172.8655641,153.0104075
1712,173.0283449,154.4882499
1713,173.1036176,155.9854774
1714,173.0975921,157.4998552
1715,173.0162259,159.0296942
1716,172.8652007,160.5737971
1717,172.6499094,162.1314083
1718,172.3754511,163.7021655
1719,172.0466313,165.1388075
1720,171.667967,166.4416266
1721,171.2436942,167.6111826
1722,170.7777776,168.6482673
1723,170.273922,169.5538717
1724,169.7355843,170.3291566
1725,169.1659859,170.9754252
1726,168.5681252,171.4940992
1727,167.9447907,171.8866964
1728,167.2985726,172.1548116
1729,166.6318754,172.3000983
1730,165.9469291,172.3242536
1731,165.2458002,172.2290039
1732,164.5304027,172.0160928
1733,163.8025077,171.6872704
1734,163.0637527,171.3087475
1735,162.3156514,170.8822596
1736,161.5596011,170.4095238
1737,160.7968913,169.8922328
1738,160.0287109,169.3320494
1739,159.2561552,168.730602
1740,158.4802326,168.0894815
1741,157.7018702,167.4102376
1742,156.9219202,166.6943767
1743,156.1411645,165.9433602
1744,155.3603204,165.1586025
1745,154.5800445,164.3414704
1746,153.8009378,163.4932822
1747,153.0235491,162.6153077
1748,152.248379,161.7087674
1749,151.4758835,160.812169
1750,150.7064769,159.9266363
1751,149.9405355,159.053245
1752,149.1783995,158.1930241
1753,148.4203765,157.3469561
1754,147.6667436,156.5159784
1755,146.9177494,155.7009841
1756,146.1736165,154.902823
1757,145.4345435,154.1223033
1758,144.7007064,153.3601923
1759,143.972261,152.6172179
1760,143.2493438,151.8940697
1761,142.5320737,151.1914007
1762,141.8205538,150.5098282
1763,141.114872,149.8499354
1764,140.4151027,149.2216084
1765,139.7213079,148.6253659
1766,139.0335377,148.0616961
1767,138.3518319,147.5310582
1768,137.6762208,147.0338837
1769,137.0067256,146.5705772
1770,136.3433596,146.1415183
1771,135.6861289,145.7470619
1772,135.035033,145.3875402
1773,134.3900651,145.0632632
1774,133.7512136,144.7745199
1775,133.1184616,144.5215795
1776,132.4917882,144.3046925
1777,131.8711685,144.1240911
1778,131.2565745,143.9799908
1779,130.6479751,143.8025576
1780,130.0453367,143.5919755
1781,129.4486237,143.3484144
1782,128.8577987,143.0720306
1783,128.2728227,142.7629676
1784,127.6936559,142.4213571
1785,127.1202573,142.0473192
1786,126.5525857,141.6409637
1787,125.9905996,141.2023904
1788,125.4342573,140.7316898
1789,124.8835176,140.2289437
1790,124.3383396,139.6942261
1791,123.7986833,139.1276031
1792,123.2645096,138.5291343
1793,122.7357805,137.8988725
1794,122.2124593,137.2973814
1795,121.6945112,136.7247026
1796,121.1819028,136.1808729
1797,120.6746029,135.6659242
1798,120.1725824,135.1798847
1799,119.6758148,134.7227788
1800,119.1842758,134.2946275
1801,118.6979442,133.8954491
1802,118.2168018,133.5252594
1803,117.7408334,133.1840719
1804,117.2700275,132.8718987
1805,116.8043763,132.58875
1806,116.3438756,132.3346353
1807,115.8885256,132.1095633
1808,115.4383312,131.9135421
1809,114.9933015,131.6825175
1810,114.5534511,131.416498
1811,114.1187999,131.1154926
1812,113.6893733,130.7795111
1813,113.2652031,130.4085646
1814,112.8463275,130.0026657
1815,112.432786,129.5618291
1816,112.1263429,129.0885081
1817,111.9247808,128.59088
1818,111.7163617,128.0706309
1819,111.47529,127.5249884
1820,111.2054643,126.950922
1821,110.9201726,126.3461675
1822,110.6483951,125.7099395
1823,110.4481367,125.0442868
1824,110.4171406,124.4052822
1825,110.6849896,123.8070539
1826,111.3834688,123.2715597
1827,112.6180117,122.8271914
1828,114.4588874,122.5062193
1829,116.9475737,122.3423961
1830,120.1068674,122.3693096
1831,123.9451552,122.6193887
1832,128.4479671,123.1227408
1833,133.5856504,123.9059959
1834,139.3180672,124.9917353
1835,145.5965768,126.398137
1836,152.3656375,128.1387624
1837,159.5641157,130.2224513
1838,167.1263826,132.6533018
1839,174.9832737,135.4597226
1840,183.0629891,138.6365316
1841,191.2920097,142.1741178
1842,199.5952906,146.0586406
1843,207.8960595,150.2721562
1844,216.1220723,154.7930124
1845,224.204334,159.5963469
1846,232.0781855,164.6545411
1847,239.6967951,169.9380016
1848,247.0183818,175.4164415
1849,253.9958093,181.0584959
1850,260.5899146,186.8320288
1851,266.769564,192.7047105
1852,272.5114143,198.6445499
1853,277.7994373,204.6203684
1854,282.624276,210.5093952
1855,286.9825019,216.2832212
1856,290.8758315,221.9152497
1857,294.3103463,227.3808888
1858,297.2957508,232.6576813
1859,299.8446876,237.7253793
1860,301.9721205,242.565971
1861,303.6947904,247.1636682
1862,305.0307435,251.5048602
1863,305.9989267,255.5780439
1864,306.618846,259.3737322
1865,306.9102809,262.8843491
1866,306.8930485,266.1041144
1867,306.5868101,269.0289215
1868,306.0109161,271.6562123
1869,305.1842821,274.0533398
1870,304.125292,276.2204657
1871,302.8517246,278.1589262
1872,301.3806984,279.8711138
1873,299.7286334,281.3603636
1874,297.9112257,282.6308443
1875,295.9434331,283.6874559
1876,293.83947,284.5357331
1877,291.6128092,285.1817549
1878,289.2761904,285.6320608
1879,286.8416326,285.8935725
1880,284.3204511,285.9735227
1881,281.7232771,285.8793887
1882,279.060079,285.6188327
1883,276.3401866,285.1996465
1884,273.5723152,284.6203956
1885,270.7645914,283.888988
1886,267.9245785,283.013327
1887,265.0593029,282.0012757
1888,262.1752796,280.8606254
1889,259.2785382,279.5990674
1890,256.3746477,278.2241686
1891,253.4687413,276.7433506
1892,250.5655403,275.1638709
1893,247.6693777,273.492808
1894,244.7842202,271.737048
1895,241.9136901,269.9032741
1896,239.0610862,267.9979582
1897,236.2294038,266.0273538
1898,233.4213538,263.9974914
1899,230.6393808,261.9230493
1900,227.8856807,259.8096028
1901,225.1622172,257.662498
1902,222.4707375,255.4868521
1903,219.8127872,253.2875543
1904,217.1897246,251.0692688
1905,214.6027338,248.8364369
1906,212.0528376,246.593281
1907,209.5409092,244.3438089
1908,207.0676836,242.0918182
1909,204.6337682,239.8409014
1910,202.2396523,237.5944513
1911,199.8857808,235.355667
1912,197.5754018,233.1276378
1913,195.3106142,230.9134777
1914,193.0909556,228.7664029
1915,190.9153561,226.6891022
1916,188.7834561,224.6840416
1917,186.6949602,222.7535059
1918,184.6495316,220.8996097
1919,182.6467949,219.1243055
1920,180.6863392,217.4293918
1921,178.7677209,215.8165214
1922,176.8904675,214.2872088
1923,175.0540805,212.842837
1924,173.2580382,211.4846653
1925,171.5017993,210.2138352
1926,169.7848052,209.0313775
1927,168.1064833,207.9382184
1928,166.466249,206.9351852
1929,164.8635083,205.905661
1930,163.2976602,204.850293
1931,161.7680988,203.7696464
1932,160.2742149,202.6642096
1933,158.8153982,201.5343988
1934,157.3910389,200.3805632
1935,156.0005291,199.202989
1936,154.6432643,198.0019039
1937,153.3186448,196.7774813
1938,152.026077,195.5298441
1939,150.7649742,194.2590683
1940,149.5347582,192.9651869
1941,148.3348596,191.6481931
1942,147.1647193,190.3080435
1943,146.0237892,188.9446612
1944,144.9115325,187.6042926
1945,143.8274252,186.2868024
1946,142.7709562,184.9920305
1947,141.7416283,183.7197943
1948,140.7389586,182.469891
1949,139.762479,181.2420997
1950,138.8117372,180.0361841
1951,137.8862969,178.8518941
1952,136.9857382,177.6889681
1953,136.1096586,176.5471346
1954,135.2576733,175.426114
1955,134.4294154,174.3256206
1956,133.6245371,173.2453638
1957,132.8427097,172.18505
1958,132.0836245,171.144384
1959,131.3469933,170.1624864
1960,130.6325491,169.2390631
1961,129.9400467,168.3738221
1962,129.2692634,167.5664755
1963,128.6200001,166.8167405
1964,127.9920817,166.1243402
1965,127.3853583,165.4890056
1966,126.7997063,164.9104762
1967,126.2350292,164.3885014
1968,125.6912589,163.9228416
1969,125.1683574,163.5132695
1970,124.6663175,163.159571
1971,124.1851653,162.8615471
1972,123.7249612,162.6190143
1973,123.2858022,162.4318063
1974,122.867824,162.099044
1975,122.4712035,161.6205996
1976,122.0961613,160.9963667
1977,121.7429643,160.226262
1978,121.4119296,159.3102267
1979,121.1034276,158.2482284
1980,120.8178857,157.0402629
1981,120.5557935,155.6863565
1982,120.3177066,154.186568
1983,120.1042525,152.5409909
1984,119.9161363,150.7497564
1985,119.7541471,148.8130362
1986,119.619165,146.7310453
1987,119.5121686,144.5040455
1988,119.4342434,142.132349
1989,119.3865907,139.8283149
1990,119.3705367,137.5923687
1991,119.3875428,135.4249994
1992,119.4392154,133.3267646
1993,119.5273158,131.2982956
1994,119.6537697,129.3403034
1995,119.8206757,127.453584
1996,120.0303107,125.6390249
1997,120.2851326,123.8976107
1998,120.5877773,122.2304284
1999,120.9410477,120.6386722
2000,121.3478921,119.1236466
2001,121.8113674,117.686768
2002,122.3345843,116.3295622
